pan,tilt,x,y
82.0185012817,-75.0393981934,0,0
42.9781990051,-67.0529022217,2,0
27.0020008087,-57.0415992737,4,0
20.0265007019,-48.0427017212,6,0
14.9636001587,-40.9561004639,8,0
20.0265007019,-86.9628982544,0,2
4.05030012131,-72.0022964478,2,2
4.05030012131,-59.9663009644,4,2
2.02509999275,-49.0550994873,6,2
1.01259994507,-41.96849823,8,2
-74.0304031372,-75.0393981934,0,4
-37.0152015686,-67.952796936,2,4
-22.0515995026,-58.0540008545,4,4
-14.9636001587,-48.0427017212,6,4
-11.0257997513,-40.9561004639,8,4
-81.0059967041,-63.0033988953,0,6
-57.0416984558,-58.0540008545,2,6
-40.952999115,-51.979801178,4,6
-31.0522994995,-45.0055999756,6,6
-23.9643001556,-39.0438995361,8,6
40.952999115,-76.0516967773,1,1
19.0139007568,-65.0280990601,3,1
12.0383996964,-52.992099762,5,1
9.00069999695,-45.0055999756,7,1
-29.0270996094,-77.9639968872,1,3
-13.0509996414,-65.0280990601,3,3
-6.97550010681,-52.992099762,5,3
-4.95039987564,-45.0055999756,7,3
-61.992099762,-67.0529022217,1,5
-39.0404014587,-58.9538993835,3,5
-27.0020008087,-49.9550018311,5,5
-20.0265007019,-42.9808998108,7,5
